DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
191713646,08/04/2019,08/04/2019,0005,17,Devonshire,1743,997,TRAFFIC COLLISION,3004 3030 3028 3102 3401 3701 4010 3037 3032,45,F,A,101,STREET,RESEDA                       BL,DEVONSHIRE                   ST,"(34.2573, -118.5361)",18905,82,1537,,2,77
190715168,08/15/2019,08/15/2019,0005,07,Wilshire,0759,997,TRAFFIC COLLISION,3004 3026 3035 3037 3101 4007 3401 3701,27,F,W,101,STREET,CRENSHAW,PICO,"(34.0478, -118.3267)",23080,648,899,,12,19
191013395,08/11/2019,08/11/2019,0005,10,West Valley,1035,997,TRAFFIC COLLISION,3006 3037 3030 3028 3101 3401 3701 4026,,F,H,101,STREET,VANOWEN                      ST,WHITE OAK                    AV,"(34.1939, -118.5186)",18909,264,245,,4,12
201513946,08/14/2020,08/14/2020,0005,15,N Hollywood,1501,997,TRAFFIC COLLISION,3028 3003 3037 3101 4026 1218 3501,55,M,H,101,STREET,SATICOY                      ST,COLDWATER CANYON             AV,"(34.2066, -118.4144)",8888,163,463,,5,71
190414635,09/16/2019,09/16/2019,0005,04,Hollenbeck,0497,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030 3032,51,M,X,101,STREET,DACOTAH,N  OLYMPIC                      BL,"(34.021, -118.2123)",23441,530,961,,9,38
191414690,06/23/2019,06/23/2019,0005,14,Pacific,1413,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4027,27,M,W,101,STREET,6TH                          AV,WESTMINSTER,"(33.9939, -118.4677)",25073,907,1266,10,10,30
191515486,08/12/2019,08/12/2019,0005,15,N Hollywood,1512,997,TRAFFIC COLLISION,3037 3004 3030 3028 3101 3401 3701 4009,35,M,O,101,STREET,VANOWEN                      ST,COLDWATER CANYON             AV,"(34.194, -118.4138)",8888,182,493,,5,71
191517410,09/16/2019,09/16/2019,0005,15,N Hollywood,1525,997,TRAFFIC COLLISION,3004 3028 3030 3039 3036 3101 3401 3701 4026,40,M,H,101,STREET,LANKERSHIM                   BL,KITTRIDGE                    ST,"(34.1903, -118.3877)",8889,193,275,,5,13
190815802,09/19/2019,09/19/2019,0005,08,West LA,0839,997,TRAFFIC COLLISION,3011 3028 3034 3037 3101 3401 3701 4008,18,,,101,STREET,CENTURY PARK,SANTA MONICA,"(34.0629, -118.4158)",24032,870,739,9,6,75
191119378,11/12/2019,11/12/2019,0005,11,Northeast,1143,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030 3036 0605,37,M,O,101,STREET,PROSPECT                     AV,COMMONWEALTH                 AV,"(34.1018, -118.2852)",23445,465,377,,7,3
